Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.6,-0.555426820989973,0.226997028259371,0.166270840830035
shearrate,(max-min)/mean,no,cumvar max,1.8,-0.315625830516926,0.170047654895214,0.118052057094878
shearrate,(max-min)/max,no,cumvar max,1.55,-0.541401503618128,0.206189579382459,0.125200911598896
temperature,max-min,yes,deriv min,1.95,-0.120195414769381,0.0740801748036233,0.320618927671824
temperature,(max-min)/mean,yes,deriv min,1.8,-0.105244280751763,0.0540419875560292,0.322322178241574
temperature,(max-min)/max,yes,deriv min,1.95,-0.120542810787314,0.0742347206426009,0.319371476550318
length of velocity vector,max-min,no,cumvar max,1.85,-0.340808805735384,0.191653398394558,0.117380352644836
length of velocity vector,(max-min)/mean,no,deriv min,2,-0.138245873114531,0.0948939598306272,0.15583543240974
length of velocity vector,(max-min)/max,no,deriv min,1.3,-0.0632121866378794,0.01598642092183,0.410123545639918
angle of velocity vector,max-min,no,cumvar max,4.85,-0.0775791470832488,0.188332671993591,0.162312582463716
angle of velocity vector,(max-min)/mean,no,cumvar max,5.05,-0.0562200015021437,0.142698922281332,0.118363919875255
angle of velocity vector,(max-min)/max,no,cumvar max,4.9,-0.0777572181774586,0.191114608224396,0.162816360801247
viscosity,max-min,yes,cumvar max,1.8,-0.0660185988753184,0.0357909304475285,0.183231378193595
viscosity,(max-min)/mean,yes,cumvar max,1.45,-0.340040927446469,0.109323650846467,0.21249850065971
viscosity,(max-min)/max,yes,cumvar max,1.8,-0.313600251183597,0.174452196658402,0.140554156171285
