Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.6,-0.328705706685486,0.136703140140599,0.186236729600054
shearrate,(max-min)/mean,no,cumvar max,1.75,-0.395543357868145,0.199729897819051,0.152743462826015
shearrate,(max-min)/max,no,cumvar max,1.6,-0.576510957737189,0.236772881768634,0.151343693872216
temperature,max-min,yes,deriv min,2.5,-0.0568901967483252,0.055119837908911,0.247337487667698
temperature,(max-min)/mean,yes,deriv min,2.3,-0.0490381934589336,0.0402200148438128,0.2471604084627
temperature,(max-min)/max,yes,deriv min,2.5,-0.057038000762175,0.0552502570137154,0.247303758295318
length of velocity vector,max-min,no,cumvar max,1.6,-0.293067010903946,0.121699742499021,0.175232521860849
length of velocity vector,(max-min)/mean,no,deriv min,2.4,-0.0899415314622144,0.0826847558991362,0.121113743876011
length of velocity vector,(max-min)/max,no,deriv min,1.45,-0.125186054539884,0.0436192047105431,0.311777453601032
angle of velocity vector,max-min,no,cumvar max,3.55,-0.0736088982789693,0.121524195756663,0.11148400806132
angle of velocity vector,(max-min)/mean,no,cumvar max,2.25,-0.196919715517248,0.158721607455686,0.109274734170384
angle of velocity vector,(max-min)/max,no,deriv min,1.2,-0.562681822397991,0.089608452825301,0.601183900970563
viscosity,max-min,yes,cumvar max,2,-0.042098089614343,0.028261178078766,0.140094948183252
viscosity,(max-min)/mean,yes,cumvar max,1.7,-0.200835524738688,0.0970844287709383,0.15920263763692
viscosity,(max-min)/max,yes,first 0,2.1,-0.19609388870767,0.145163781003295,0.115565262119385
