Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
shearrate,max-min,no,cumvar max,1.65,-0.498652978499428,0.219418163434009,0.151456988309196
shearrate,(max-min)/mean,no,cumvar max,1.85,-0.281042630388672,0.159933301368676,0.108881521549468
shearrate,(max-min)/max,no,cumvar max,1.55,-0.520958277458016,0.196393529599806,0.140813121619264
temperature,max-min,yes,deriv min,1.6,-0.309186974254153,0.125112886543456,0.400017448961787
temperature,(max-min)/mean,yes,deriv min,1.5,-0.260203676972129,0.0879022121937993,0.4021113243762
temperature,(max-min)/max,yes,deriv min,1.6,-0.308837036284253,0.124810997125096,0.399493980108184
length of velocity vector,max-min,no,cumvar max,1.8,-0.342921281232786,0.180365542086769,0.143866689931949
length of velocity vector,(max-min)/mean,no,deriv min,1.65,-0.192207025220461,0.0929680847027282,0.209125807014483
length of velocity vector,(max-min)/max,no,deriv min,1.2,-0.0520851509335195,0.0101542988415894,0.559937183737568
angle of velocity vector,max-min,no,cumvar max,4.15,-0.0405416320723423,0.0818105462582386,0.0779096143779445
angle of velocity vector,(max-min)/mean,no,no cut,5.5,-0.0330944751373693,0.0913940009843416,0.0759029837724655
angle of velocity vector,(max-min)/max,no,cumvar max,5.35,-0.0605812268776749,0.163725104711159,0.115599371837376
viscosity,max-min,yes,cumvar max,1.85,-0.145270259928306,0.0819352033262619,0.163758506368871
viscosity,(max-min)/mean,yes,cumvar max,1.55,-0.331304535631878,0.125256454059362,0.190455417902635
viscosity,(max-min)/max,yes,first 0,1.7,-0.373588503626891,0.183043019655185,0.114377944512302
